date,open,high,low,close,volume,SMA_20,sma_20,SMA_50,sma_50,SMA_200,sma_200,RSI_14,MACD_line,MACD_signal,MACD_hist,RSI_21,signal,positions,RSI_8,RSI_10,RSI_13,RSI_20,RSI_15,RSI_18,RSI_12,RSI_17,RSI_7,RSI_19,RSI_11,RSI_9,RSI_16,ATR_18,atr,position,price_return,strategy_return,equity,pnl,cumulative_pnl,position_size_units,position_size_units_signed,notional_exposure,stop_loss_price,take_profit_price,drawdown_pct,halt_trading,risk_adjusted_signal,strategy_returns,cumulative_returns,drawdown
2021-01-04,133.52,133.61,126.76,129.41,143301900,128.053,128.053,,,,,53.1960908221806,2.4997996106643825,2.2134286995734325,0.28637091109095003,55.35793383632466,0,1.0,47.29098385593404,50.200766891617164,52.65178685256043,55.15685124250496,53.654556799058994,54.67427698809334,51.99682493510619,54.381802344128864,45.08951688579787,54.930582089822195,51.19644614312458,48.93621824870031,54.04529976364226,3.622777777777779,3.622777777777779,-1.0,-0.02471927048006628,0.02471927048006628,100008.50195,1313.961127765906,2853.4971165643947,45.95992104911673,0.0,0.0,123.79469444444445,141.20214166666668,0.0,False,0,3.279828728985912e-05,8.501949999994984e-05,0.0
2021-01-05,128.89,131.74,128.43,131.01,97664900,128.491,128.491,,,,,56.727395104068286,2.332775277415152,2.2372980151417767,0.09547726227337527,58.16229824563826,0,0.0,53.000747131741235,54.79623146879631,56.370965549711514,58.02776195772794,57.02928614368322,57.705652479847075,55.9451323854539,57.51102147771682,51.70260045505789,57.8765896242085,55.4296042343503,54.00538670804692,57.28770571280301,3.701666666666668,3.701666666666668,0.0,0.012363804960976665,0.0,100008.89306,0.0,2853.4971165643947,44.98043601400123,0.0,0.0,125.27241666666666,143.058925,0.0,False,0,3.9107675084970595e-06,8.893060000003672e-05,0.0
2021-01-06,127.72,131.05,126.38,126.6,155088000,128.6335,128.6335,,,,,46.347702072732275,1.8235365516225954,2.1545457224379403,-0.33100917081534487,49.2149365255809,0,0.0,39.516603815585,42.722543105088825,45.66136935160857,48.93778298525861,46.93624429359669,48.28194236065304,44.852495871519054,47.890570874141126,37.26930656204767,48.62867085808189,43.88791701662673,41.294248407229894,47.445737046745585,3.686111111111113,3.686111111111113,0.0,-0.033661552553240215,-0.0,100008.89306,0.0,2853.4971165643947,45.170255487760386,0.0,0.0,120.88652777777777,138.59829166666668,0.0,False,0,0.0,8.893060000003672e-05,0.0
2021-01-07,128.36,131.63,127.86,130.92,109578200,128.9605,128.9605,,,,,55.02848719781661,1.7483946832480797,2.0733155145999684,-0.32492083135188876,56.152855287764474,0,0.0,52.92480697755439,53.801930465828356,54.778703913849704,56.03876614984955,55.24884255038906,55.77324554072362,54.494550783340365,55.617852507560315,52.44215664763945,55.91283177615103,54.17065975902231,53.385385394113484,55.444077233799185,3.758888888888891,3.758888888888891,0.0,0.034123222748815074,0.0,100008.89306,0.0,2853.4971165643947,44.2956909786122,0.0,0.0,125.09372222222221,143.15518333333333,0.0,False,0,0.0,8.893060000003672e-05,0.0
2021-01-08,132.43,132.63,130.23,132.05,105158245,129.474,129.474,,,,,56.988826947305974,1.75974057345897,2.0106005263717686,-0.2508599529127986,57.7385571163193,0,0.0,55.85061429348026,56.26090483066695,56.83121643742337,57.659982376066104,57.13093411115178,57.47907704517553,56.6570002219968,57.374573529312684,55.71121260411096,57.573826986707395,56.46610776215234,56.04917974066448,57.259007507891226,3.74277777777778,3.74277777777778,0.0,0.008631225175679935,0.0,100008.89306,0.0,2853.4971165643947,44.48636561693486,0.0,0.0,126.24869444444445,144.2327416666667,0.0,False,0,0.0,8.893060000003672e-05,0.0
2021-01-11,129.19,130.17,128.5,128.98,100620880,129.761,129.761,,,,,50.54272568780507,1.5036754951517253,1.9092155201277599,-0.4055400249760346,52.33903694944934,0,0.0,46.81617125267088,48.472585019783224,50.13396094852487,52.15904126929253,50.89968996988484,51.73858495201282,49.66245851674555,51.49132221350738,45.74461544058383,51.95991458076494,49.11444300415595,47.71527584155428,51.21356411529851,3.839444444444448,3.839444444444448,0.0,-0.023248769405528336,-0.0,100008.89306,0.0,2853.4971165643947,43.36632110567067,0.0,0.0,123.0288611111111,141.47739166666668,0.0,False,0,0.0,8.893060000003672e-05,0.0
2021-01-12,128.5,129.69,126.86,128.8,91951145,130.0805,130.0805,,,,,50.18430412818201,1.2715598298665611,1.7816843820755202,-0.510124552208959,52.03943458337828,0,0.0,46.31416017593515,48.03934777359888,49.76148393737894,51.853722884048096,50.55331188395037,51.41977839062109,49.27337690585333,51.164486416013546,45.19159286306012,51.64823293633517,48.70546275910941,47.251845299318084,50.877614662577294,3.6566666666666703,3.6566666666666703,0.0,-0.0013955652039073785,-0.0,100008.89306,0.0,2853.4971165643947,45.53397829858554,0.0,0.0,123.13216666666668,140.70245000000003,0.0,False,0,0.0,8.893060000003672e-05,0.0
2021-01-13,128.76,131.45,128.49,130.89,88636831,130.536,130.536,,,,,54.241840988280586,1.2419357635620258,1.6737346583728212,-0.43179889481079536,55.16817148223927,0,0.0,53.00168520679849,53.411403448690294,54.055257742371495,55.0683175060764,54.412681083378985,54.84080359879743,53.85289033512589,54.71091970440514,52.904267453128725,54.95954736327585,53.63647439390771,53.19049326553491,54.56864120253551,3.720555555555558,3.720555555555558,0.0,0.01622670807453397,0.0,100008.89306,0.0,2853.4971165643947,44.75207483370018,0.0,0.0,125.12313888888887,143.00040833333333,0.0,False,0,0.0,8.893060000003672e-05,0.0
2021-01-14,130.8,131.0,128.76,128.91,90221800,130.5875,130.5875,,,,,50.08018847783413,1.0466241929409534,1.5483125652864478,-0.5016883723454943,51.806340549264846,0,0.0,46.702854371705854,48.169223213035295,49.69607145930068,51.63063126089489,50.41830044755158,51.222538616020884,49.25710501636479,50.98409798037519,45.78341900223375,51.43694792028213,48.75249986629759,47.49185757403203,50.717633978903656,3.746666666666669,3.746666666666669,0.0,-0.015127206050882358,-0.0,100008.89306,0.0,2853.4971165643947,44.44019056365512,0.0,0.0,123.10266666666666,141.1054,0.0,False,0,0.0,8.893060000003672e-05,0.0
2021-01-15,128.78,130.22,127.0,127.14,111598531,130.554,130.554,,,,,46.63556767145967,0.740478384700026,1.3867457291691636,-0.6462673444691376,49.003418426624876,0,0.0,41.64638273401916,43.89050125022425,46.09607852041294,48.76601677821038,47.10623424494292,48.21174445649974,45.472696094685276,47.885899293040275,40.147617581350886,48.5034746322987,44.74597448074441,42.87255086785518,47.51989186215138,3.760000000000003,3.760000000000003,0.0,-0.013730509657900791,-0.0,100008.89306,0.0,2853.4971165643947,44.2826012354152,0.0,0.0,121.312,139.3788,0.0,False,0,0.0,8.893060000003672e-05,0.0
